datetime,open,high,low,close,volume
2018-12-05 08:00:00,107.14,107.81,106.56,107.38,9411.47
2018-12-05 09:00:00,107.38,108.13,106.0,108.03,14035.87
2018-12-05 10:00:00,108.03,108.97,108.0,108.28,11577.21
2018-12-05 11:00:00,108.28,108.94,107.69,108.81,9204.09
2018-12-05 12:00:00,108.81,109.22,108.04,108.12,9851.27
2018-12-05 13:00:00,108.12,109.0,107.94,108.05,9818.27
2018-12-05 14:00:00,108.05,108.1,106.96,107.34,12980.62
2018-12-05 15:00:00,107.34,107.76,106.87,107.08,6098.24
2018-12-05 16:00:00,107.08,107.19,103.0,103.6,52879.18
2018-12-05 17:00:00,103.6,104.59,103.36,104.16,30695.17
2018-12-05 18:00:00,104.16,104.79,103.39,104.19,20714.71
2018-12-05 19:00:00,104.19,104.54,103.11,103.83,20050.64
2018-12-05 20:00:00,103.83,104.45,103.8,104.42,14194.7
2018-12-05 21:00:00,104.42,104.66,103.66,103.66,9072.43
2018-12-05 22:00:00,103.66,104.1,103.41,103.95,10691.55
2018-12-05 23:00:00,103.95,104.16,102.38,102.71,22661.36
2018-12-06 00:00:00,102.71,103.8,102.51,103.38,20761.9
2018-12-06 01:00:00,103.38,104.1,103.04,103.38,10996.29
2018-12-06 02:00:00,103.38,103.54,101.38,101.38,21015.61
2018-12-06 03:00:00,101.38,102.6,101.03,102.1,22925.23
2018-12-06 04:00:00,102.1,102.18,100.0,100.02,19746.26
2018-12-06 05:00:00,100.02,103.68,95.97,103.46,75408.07
2018-12-06 06:00:00,103.46,104.68,102.88,103.37,18323.41
2018-12-06 07:00:00,103.37,103.47,102.53,103.23,10437.84
2018-12-06 08:00:00,103.23,104.0,103.22,103.49,6871.52
2018-12-06 09:00:00,103.49,103.82,102.68,102.79,7936.53
2018-12-06 10:00:00,102.79,102.9,99.3,99.85,24607.22
2018-12-06 11:00:00,99.85,100.77,99.85,100.67,12140.27
2018-12-06 12:00:00,100.67,102.62,99.94,100.32,20009.34
2018-12-06 13:00:00,100.32,100.5,97.68,98.21,33861.81
2018-12-06 14:00:00,98.21,100.17,97.0,99.31,58981.03
2018-12-06 15:00:00,99.31,100.16,97.3,98.36,36138.59
2018-12-06 16:00:00,98.36,98.75,96.84,97.92,28921.31
2018-12-06 17:00:00,97.92,97.97,96.02,97.13,23008.23
2018-12-06 18:00:00,97.13,97.25,95.32,96.53,22767.26
2018-12-06 19:00:00,96.53,98.4,96.23,98.17,19996.56
2018-12-06 20:00:00,98.17,98.17,97.07,97.72,10339.83
2018-12-06 21:00:00,97.72,98.19,96.6,96.77,10395.97
2018-12-06 22:00:00,96.77,96.8,94.08,94.11,16770.19
2018-12-06 23:00:00,94.11,95.65,90.2,91.0,53778.31
2018-12-07 00:00:00,91.0,96.9,82.07,93.05,1030073.58
2018-12-07 01:00:00,87.59,89.9,86.26,87.28,60292.06
2018-12-07 02:00:00,87.28,88.49,83.76,84.68,63676.14
2018-12-07 03:00:00,84.68,86.2,82.66,84.8,54309.0
2018-12-07 04:00:00,84.8,85.83,84.42,85.19,48252.61
2018-12-07 05:00:00,85.19,89.0,84.07,87.94,61344.55
2018-12-07 06:00:00,87.94,87.94,85.61,86.51,36984.65
2018-12-07 07:00:00,86.51,87.69,85.97,86.25,24223.22
2018-12-07 08:00:00,86.25,87.3,83.74,84.55,33067.68
2018-12-07 09:00:00,84.55,85.45,83.55,84.36,27280.0
